# ---------- Simulated data ------------- 
# model R0= 0.200000 
# --------------------------------------- 
# Br(z,th) data
# z followed by pairs of (th,Br) 
 0.187300  # r_probes
 5.000000  # th_step(deg)
 0.005000  # z_step 
  401  # Nz (number of z points) 
  73  # Nt (number of theta points) 
DATA_Z_TH_BR_FldData
  0 
-0.980000 265.000000 0.000469
-0.980000 270.000000 -0.000000
-0.980000 275.000000 -0.000469
-0.980000 280.000000 -0.000924
-0.980000 285.000000 -0.001351
-0.980000 290.000000 -0.001736
-0.980000 295.000000 -0.002069
-0.980000 300.000000 -0.002339
-0.980000 305.000000 -0.002537
-0.980000 310.000000 -0.002659
-0.980000 315.000000 -0.002700
-0.980000 320.000000 -0.002659
-0.980000 325.000000 -0.002537
-0.980000 330.000000 -0.002339
-0.980000 335.000000 -0.002069
-0.980000 340.000000 -0.001736
-0.980000 345.000000 -0.001351
-0.980000 350.000000 -0.000924
-0.980000 355.000000 -0.000469
-0.980000 360.000000 0.000000
  5 
-0.975000 0.000000 0.000000
-0.975000 5.000000 0.000526
-0.975000 10.000000 0.001036
-0.975000 15.000000 0.001514
-0.975000 20.000000 0.001946
-0.975000 25.000000 0.002319
-0.975000 30.000000 0.002621
-0.975000 35.000000 0.002844
-0.975000 40.000000 0.002980
-0.975000 45.000000 0.003026
-0.975000 50.000000 0.002980
-0.975000 55.000000 0.002844
-0.975000 60.000000 0.002621
-0.975000 65.000000 0.002319
-0.975000 70.000000 0.001946
-0.975000 75.000000 0.001514
-0.975000 80.000000 0.001036
-0.975000 85.000000 0.000526
-0.975000 90.000000 -0.000000
-0.975000 95.000000 -0.000526
-0.975000 100.000000 -0.001036
-0.975000 105.000000 -0.001514
-0.975000 110.000000 -0.001946
-0.975000 115.000000 -0.002319
-0.975000 120.000000 -0.002621
-0.975000 125.000000 -0.002844
-0.975000 130.000000 -0.002980
-0.975000 135.000000 -0.003026
-0.975000 140.000000 -0.002980
-0.975000 145.000000 -0.002844
-0.975000 150.000000 -0.002621
-0.975000 155.000000 -0.002319
-0.975000 160.000000 -0.001946
-0.975000 165.000000 -0.001514
-0.975000 170.000000 -0.001036
-0.975000 175.000000 -0.000526
-0.975000 180.000000 0.000000
-0.975000 185.000000 0.000526
-0.975000 190.000000 0.001036
-0.975000 195.000000 0.001514
-0.975000 200.000000 0.001946
-0.975000 205.000000 0.002319
-0.975000 210.000000 0.002621
-0.975000 215.000000 0.002844
-0.975000 220.000000 0.002980
-0.975000 225.000000 0.003026
-0.975000 230.000000 0.002980
-0.975000 235.000000 0.002844
-0.975000 240.000000 0.002621
-0.975000 245.000000 0.002319
-0.975000 250.000000 0.001946
-0.975000 255.000000 0.001514
-0.975000 260.000000 0.001036
-0.975000 265.000000 0.000526
-0.975000 270.000000 -0.000000
-0.975000 275.000000 -0.000526
-0.975000 280.000000 -0.001036
-0.975000 285.000000 -0.001514
-0.975000 290.000000 -0.001946
-0.975000 295.000000 -0.002319
-0.975000 300.000000 -0.002621
-0.975000 305.000000 -0.002844
-0.975000 310.000000 -0.002980
-0.975000 315.000000 -0.003026
-0.975000 320.000000 -0.002980
-0.975000 325.000000 -0.002844
-0.975000 330.000000 -0.002621
-0.975000 335.000000 -0.002319
-0.975000 340.000000 -0.001946
-0.975000 345.000000 -0.001514
-0.975000 350.000000 -0.001036
-0.975000 355.000000 -0.000526
-0.975000 360.000000 0.000000
  6 
-0.970000 0.000000 0.000000
-0.970000 5.000000 0.000586
-0.970000 10.000000 0.001155
-0.970000 15.000000 0.001688
-0.970000 20.000000 0.002170
-0.970000 25.000000 0.002586
-0.970000 30.000000 0.002923
-0.970000 35.000000 0.003171
-0.970000 40.000000 0.003323
-0.970000 45.000000 0.003375
-0.970000 50.000000 0.003323
-0.970000 55.000000 0.003171
-0.970000 60.000000 0.002923
-0.970000 65.000000 0.002586
-0.970000 70.000000 0.002170
-0.970000 75.000000 0.001688
-0.970000 80.000000 0.001155
-0.970000 85.000000 0.000586
-0.970000 90.000000 -0.000000
-0.970000 95.000000 -0.000586
-0.970000 100.000000 -0.001155
-0.970000 105.000000 -0.001688
-0.970000 110.000000 -0.002170
-0.970000 115.000000 -0.002586
-0.970000 120.000000 -0.002923
-0.970000 125.000000 -0.003171
-0.970000 130.000000 -0.003323
-0.970000 135.000000 -0.003375
-0.970000 140.000000 -0.003323
-0.970000 145.000000 -0.003171
-0.970000 150.000000 -0.002923
-0.970000 155.000000 -0.002586
-0.970000 160.000000 -0.002170
-0.970000 165.000000 -0.001688
-0.970000 170.000000 -0.001155
-0.970000 175.000000 -0.000586
-0.970000 180.000000 0.000000
-0.970000 185.000000 0.000586
-0.970000 190.000000 0.001155
-0.970000 195.000000 0.001688
-0.970000 200.000000 0.002170
-0.970000 205.000000 0.002586
-0.970000 210.000000 0.002923
-0.970000 215.000000 0.003171
-0.970000 220.000000 0.003323
-0.970000 225.000000 0.003375
-0.970000 230.000000 0.003323
-0.970000 235.000000 0.003171
-0.970000 240.000000 0.002923
-0.970000 245.000000 0.002586
-0.970000 250.000000 0.002170
-0.970000 255.000000 0.001688
-0.970000 260.000000 0.001155
-0.970000 265.000000 0.000586
-0.970000 270.000000 -0.000000
-0.970000 275.000000 -0.000586
-0.970000 280.000000 -0.001155
-0.970000 285.000000 -0.001688
-0.970000 290.000000 -0.002170
-0.970000 295.000000 -0.002586
-0.970000 300.000000 -0.002923
-0.970000 305.000000 -0.003171
-0.970000 310.000000 -0.003323
-0.970000 315.000000 -0.003375
-0.970000 320.000000 -0.003323
-0.970000 325.000000 -0.003171
-0.970000 330.000000 -0.002923
-0.970000 335.000000 -0.002586
-0.970000 340.000000 -0.002170
-0.970000 345.000000 -0.001688
-0.970000 350.000000 -0.001155
-0.970000 355.000000 -0.000586
-0.970000 360.000000 0.000000
  7 
-0.965000 0.000000 0.000000
-0.965000 5.000000 0.000651
-0.965000 10.000000 0.001282
-0.965000 15.000000 0.001874
-0.965000 20.000000 0.002409
-0.965000 25.000000 0.002871
-0.965000 30.000000 0.003245
-0.965000 35.000000 0.003520
-0.965000 40.000000 0.003689
-0.965000 45.000000 0.003746
-0.965000 50.000000 0.003689
-0.965000 55.000000 0.003520
-0.965000 60.000000 0.003245
-0.965000 65.000000 0.002871
-0.965000 70.000000 0.002409
-0.965000 75.000000 0.001874
-0.965000 80.000000 0.001282
-0.965000 85.000000 0.000651
-0.965000 90.000000 -0.000000
-0.965000 95.000000 -0.000651
-0.965000 100.000000 -0.001282
-0.965000 105.000000 -0.001874
-0.965000 110.000000 -0.002409
-0.965000 115.000000 -0.002871
-0.965000 120.000000 -0.003245
-0.965000 125.000000 -0.003520
-0.965000 130.000000 -0.003689
-0.965000 135.000000 -0.003746
-0.965000 140.000000 -0.003689
-0.965000 145.000000 -0.003520
-0.965000 150.000000 -0.003245
-0.965000 155.000000 -0.002871
-0.965000 160.000000 -0.002409
-0.965000 165.000000 -0.001874
-0.965000 170.000000 -0.001282
-0.965000 175.000000 -0.000651
-0.965000 180.000000 0.000000
-0.965000 185.000000 0.000651
-0.965000 190.000000 0.001282
-0.965000 195.000000 0.001874
-0.965000 200.000000 0.002409
-0.965000 205.000000 0.002871
-0.965000 210.000000 0.003245
-0.965000 215.000000 0.003520
-0.965000 220.000000 0.003689
-0.965000 225.000000 0.003746
-0.965000 230.000000 0.003689
-0.965000 235.000000 0.003520
-0.965000 240.000000 0.003245
-0.965000 245.000000 0.002871
-0.965000 250.000000 0.002409
-0.965000 255.000000 0.001874
-0.965000 260.000000 0.001282
-0.965000 265.000000 0.000651
-0.965000 270.000000 -0.000000
-0.965000 275.000000 -0.000651
-0.965000 280.000000 -0.001282
-0.965000 285.000000 -0.001874
-0.965000 290.000000 -0.002409
-0.965000 295.000000 -0.002871
-0.965000 300.000000 -0.003245
-0.965000 305.000000 -0.003520
-0.965000 310.000000 -0.003689
-0.965000 315.000000 -0.003746
-0.965000 320.000000 -0.003689
-0.965000 325.000000 -0.003520
-0.965000 330.000000 -0.003245
-0.965000 335.000000 -0.002871
-0.965000 340.000000 -0.002409
-0.965000 345.000000 -0.001874
-0.965000 350.000000 -0.001282
-0.965000 355.000000 -0.000651
-0.965000 360.000000 0.000000
  8 
-0.960000 0.000000 0.000000
-0.960000 5.000000 0.000720
-0.960000 10.000000 0.001417
-0.960000 15.000000 0.002072
-0.960000 20.000000 0.002663
-0.960000 25.000000 0.003173
-0.960000 30.000000 0.003587
-0.960000 35.000000 0.003892
-0.960000 40.000000 0.004078
-0.960000 45.000000 0.004141
-0.960000 50.000000 0.004078
-0.960000 55.000000 0.003892
-0.960000 60.000000 0.003587
-0.960000 65.000000 0.003173
-0.960000 70.000000 0.002663
-0.960000 75.000000 0.002072
-0.960000 80.000000 0.001417
-0.960000 85.000000 0.000720
-0.960000 90.000000 -0.000000
-0.960000 95.000000 -0.000720
-0.960000 100.000000 -0.001417
-0.960000 105.000000 -0.002072
-0.960000 110.000000 -0.002663
-0.960000 115.000000 -0.003173
-0.960000 120.000000 -0.003587
-0.960000 125.000000 -0.003892
-0.960000 130.000000 -0.004078
-0.960000 135.000000 -0.004141
-0.960000 140.000000 -0.004078
-0.960000 145.000000 -0.003892
-0.960000 150.000000 -0.003587
-0.960000 155.000000 -0.003173
-0.960000 160.000000 -0.002663
-0.960000 165.000000 -0.002072
-0.960000 170.000000 -0.001417
-0.960000 175.000000 -0.000720
-0.960000 180.000000 0.000000
-0.960000 185.000000 0.000720
-0.960000 190.000000 0.001417
-0.960000 195.000000 0.002072
-0.960000 200.000000 0.002663
-0.960000 205.000000 0.003173
-0.960000 210.000000 0.003587
-0.960000 215.000000 0.003892
-0.960000 220.000000 0.004078
-0.960000 225.000000 0.004141
-0.960000 230.000000 0.004078
-0.960000 235.000000 0.003892
-0.960000 240.000000 0.003587
-0.960000 245.000000 0.003173
-0.960000 250.000000 0.002663
-0.960000 255.000000 0.002072
-0.960000 260.000000 0.001417
-0.960000 265.000000 0.000720
-0.960000 270.000000 -0.000000
-0.960000 275.000000 -0.000720
-0.960000 280.000000 -0.001417
-0.960000 285.000000 -0.002072
-0.960000 290.000000 -0.002663
-0.960000 295.000000 -0.003173
-0.960000 300.000000 -0.003587
-0.960000 305.000000 -0.003892
-0.960000 310.000000 -0.004078
-0.960000 315.000000 -0.004141
-0.960000 320.000000 -0.004078
-0.960000 325.000000 -0.003892
-0.960000 330.000000 -0.003587
-0.960000 335.000000 -0.003173
-0.960000 340.000000 -0.002663
-0.960000 345.000000 -0.002072
-0.960000 350.000000 -0.001417
-0.960000 355.000000 -0.000720
-0.960000 360.000000 0.000000
  9 
-0.955000 0.000000 0.000000
-0.955000 5.000000 0.000792
-0.955000 10.000000 0.001561
-0.955000 15.000000 0.002281
-0.955000 20.000000 0.002933
-0.955000 25.000000 0.003494
-0.955000 30.000000 0.003950
-0.955000 35.000000 0.004285
-0.955000 40.000000 0.004491
-0.955000 45.000000 0.004560
-0.955000 50.000000 0.004491
-0.955000 55.000000 0.004285
-0.955000 60.000000 0.003950
-0.955000 65.000000 0.003494
-0.955000 70.000000 0.002933
-0.955000 75.000000 0.002281
-0.955000 80.000000 0.001561
-0.955000 85.000000 0.000792
-0.955000 90.000000 -0.000000
-0.955000 95.000000 -0.000792
-0.955000 100.000000 -0.001561
-0.955000 105.000000 -0.002281
-0.955000 110.000000 -0.002933
-0.955000 115.000000 -0.003494
-0.955000 120.000000 -0.003950
-0.955000 125.000000 -0.004285
-0.955000 130.000000 -0.004491
-0.955000 135.000000 -0.004560
-0.955000 140.000000 -0.004491
-0.955000 145.000000 -0.004285
-0.955000 150.000000 -0.003950
-0.955000 155.000000 -0.003494
-0.955000 160.000000 -0.002933
-0.955000 165.000000 -0.002281
-0.955000 170.000000 -0.001561
-0.955000 175.000000 -0.000792
-0.955000 180.000000 0.000000
-0.955000 185.000000 0.000792
-0.955000 190.000000 0.001561
-0.955000 195.000000 0.002281
-0.955000 200.000000 0.002933
-0.955000 205.000000 0.003494
-0.955000 210.000000 0.003950
-0.955000 215.000000 0.004285
-0.955000 220.000000 0.004491
-0.955000 225.000000 0.004560
-0.955000 230.000000 0.004491
-0.955000 235.000000 0.004285
-0.955000 240.000000 0.003950
-0.955000 245.000000 0.003494
-0.955000 250.000000 0.002933
-0.955000 255.000000 0.002281
-0.955000 260.000000 0.001561
-0.955000 265.000000 0.000792
-0.955000 270.000000 -0.000000
-0.955000 275.000000 -0.000792
-0.955000 280.000000 -0.001561
-0.955000 285.000000 -0.002281
-0.955000 290.000000 -0.002933
-0.955000 295.000000 -0.003494
-0.955000 300.000000 -0.003950
-0.955000 305.000000 -0.004285
-0.955000 310.000000 -0.004491
-0.955000 315.000000 -0.004560
-0.955000 320.000000 -0.004491
-0.955000 325.000000 -0.004285
-0.955000 330.000000 -0.003950
-0.955000 335.000000 -0.003494
-0.955000 340.000000 -0.002933
-0.955000 345.000000 -0.002281
-0.955000 350.000000 -0.001561
-0.955000 355.000000 -0.000792
-0.955000 360.000000 0.000000
  10 
-0.950000 0.000000 0.000000
-0.950000 5.000000 0.000870
-0.950000 10.000000 0.001713
-0.950000 15.000000 0.002504
-0.950000 20.000000 0.003218
-0.950000 25.000000 0.003835
-0.950000 30.000000 0.004334
-0.950000 35.000000 0.004703
-0.950000 40.000000 0.004928
-0.950000 45.000000 0.005004
-0.950000 50.000000 0.004928
-0.950000 55.000000 0.004703
-0.950000 60.000000 0.004334
-0.950000 65.000000 0.003835
-0.950000 70.000000 0.003218
-0.950000 75.000000 0.002504
-0.950000 80.000000 0.001713
-0.950000 85.000000 0.000870
-0.950000 90.000000 -0.000000
-0.950000 95.000000 -0.000870
-0.950000 100.000000 -0.001713
-0.950000 105.000000 -0.002504
-0.950000 110.000000 -0.003218
-0.950000 115.000000 -0.003835
-0.950000 120.000000 -0.004334
-0.950000 125.000000 -0.004703
-0.950000 130.000000 -0.004928
-0.950000 135.000000 -0.005004
-0.950000 140.000000 -0.004928
-0.950000 145.000000 -0.004703
-0.950000 150.000000 -0.004334
-0.950000 155.000000 -0.003835
-0.950000 160.000000 -0.003218
-0.950000 165.000000 -0.002504
-0.950000 170.000000 -0.001713
-0.950000 175.000000 -0.000870
-0.950000 180.000000 0.000000
-0.950000 185.000000 0.000870
-0.950000 190.000000 0.001713
-0.950000 195.000000 0.002504
-0.950000 200.000000 0.003218
-0.950000 205.000000 0.003835
-0.950000 210.000000 0.004334
-0.950000 215.000000 0.004703
-0.950000 220.000000 0.004928
-0.950000 225.000000 0.005004
-0.950000 230.000000 0.004928
-0.950000 235.000000 0.004703
-0.950000 240.000000 0.004334
-0.950000 245.000000 0.003835
-0.950000 250.000000 0.003218
-0.950000 255.000000 0.002504
-0.950000 260.000000 0.001713
-0.950000 265.000000 0.000870
-0.950000 270.000000 -0.000000
-0.950000 275.000000 -0.000870
-0.950000 280.000000 -0.001713
-0.950000 285.000000 -0.002504
-0.950000 290.000000 -0.003218
-0.950000 295.000000 -0.003835
-0.950000 300.000000 -0.004334
-0.950000 305.000000 -0.004703
-0.950000 310.000000 -0.004928
-0.950000 315.000000 -0.005004
-0.950000 320.000000 -0.004928
-0.950000 325.000000 -0.004703
-0.950000 330.000000 -0.004334
-0.950000 335.000000 -0.003835
-0.950000 340.000000 -0.003218
-0.950000 345.000000 -0.002504
-0.950000 350.000000 -0.001713
-0.950000 355.000000 -0.000870
-0.950000 360.000000 0.000000
  11 
-0.945000 0.000000 0.000000
-0.945000 5.000000 0.000951
-0.945000 10.000000 0.001873
-0.945000 15.000000 0.002738
-0.945000 20.000000 0.003520
