 z,  dB_r_1/dx,  dA_r_1/dy, B_r_2 
 0.000000, -9.407406, -9.407406, 1.773184 
 0.005000, -9.407658, -9.407658, 1.773208 
 0.010000, -9.408423, -9.408423, 1.773280 
 0.015000, -9.409732, -9.409732, 1.773402 
 0.020000, -9.411634, -9.411634, 1.773577 
 0.025000, -9.414198, -9.414198, 1.773807 
 0.030000, -9.417516, -9.417516, 1.774097 
 0.035000, -9.421699, -9.421699, 1.774452 
 0.040000, -9.426879, -9.426879, 1.774879 
 0.045000, -9.433210, -9.433210, 1.775383 
 0.050000, -9.440871, -9.440871, 1.775974 
 0.055000, -9.450060, -9.450060, 1.776659 
 0.060000, -9.461000, -9.461000, 1.777449 
 0.065000, -9.473937, -9.473937, 1.778355 
 0.070000, -9.489140, -9.489140, 1.779386 
 0.075000, -9.506902, -9.506902, 1.780554 
 0.080000, -9.527537, -9.527537, 1.781872 
 0.085000, -9.551380, -9.551380, 1.783352 
 0.090000, -9.578786, -9.578787, 1.785006 
 0.095000, -9.610127, -9.610127, 1.786847 
 0.100000, -9.645784, -9.645784, 1.788885 
 0.105000, -9.686151, -9.686151, 1.791132 
 0.110000, -9.731619, -9.731619, 1.793597 
 0.115000, -9.782575, -9.782575, 1.796286 
 0.120000, -9.839391, -9.839391, 1.799205 
 0.125000, -9.902409, -9.902409, 1.802353 
 0.130000, -9.971931, -9.971931, 1.805729 
 0.135000, -10.048201, -10.048201, 1.809322 
 0.140000, -10.131388, -10.131388, 1.813118 
 0.145000, -10.221564, -10.221564, 1.817093 
 0.150000, -10.318682, -10.318682, 1.821214 
 0.155000, -10.422548, -10.422548, 1.825440 
